agent,action,action_type,action_start,collab_start
/rosie0,"wait,none,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,goto_h3_m,h_remove_object,none,goto_m_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","1.4700279235839844,200.95430994033813,201.80856013298035,206.80440187454224,207.8115689754486,219.80155205726624,224.80799555778503,225.82284379005432,231.80925297737122,236.79811573028564,237.8021206855774,243.79532122612,248.79889822006226,249.80467557907104,261.8116407394409,270.82713532447815,356.8014738559723,357.85028052330017,366.82097339630127,371.79418659210205,372.7992613315582,378.8029179573059,383.8245527744293,384.84485149383545,390.8143322467804,395.7977831363678,396.7968773841858,408.81707525253296,413.7930178642273,414.865939617157,420.8118658065796,425.8525912761688,426.7948908805847,432.8000864982605,437.8354196548462,438.80552077293396,450.84465074539185,455.80643033981323,456.86189579963684,462.79413628578186,467.85963702201843,468.8225464820862,474.8112063407898,479.849506855011,480.83283829689026,492.800452709198,497.83478832244873,498.79000306129456,504.8211359977722,509.8361802101135",296.818246603012
/rosie1,"wait,none,none,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load","local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative","1.3189501762390137,200.96669721603394,201.7982144355774,209.81129717826843,210.80806732177734,218.79558181762695,224.80917048454285,225.8083143234253,231.8098533153534,238.8170871734619,239.79301142692566,247.80282044410706,255.86106944084167,256.82430505752563,264.79878425598145,270.80721950531006,271.8167636394501,277.8147587776184,283.8452215194702,284.8146963119507,292.8163208961487,300.81389808654785,301.80064606666565,309.8089089393616,315.80985951423645,316.7995364665985,322.7950236797333,328.7949938774109,329.7970724105835,337.7945637702942,345.83160495758057,346.8303656578064,354.8221366405487,360.7961893081665,361.8437292575836,367.8354015350342,374.84589648246765,375.79966592788696,383.82506561279297,391.8061168193817,392.82866764068604,400.79884123802185,406.81962966918945,407.8152039051056,413.83850955963135,420.79849076271057,421.8477008342743,429.85652685165405,437.8258967399597,438.8056392669678,446.79860520362854,452.7925012111664,453.78975892066956,459.8372519016266,466.79405188560486,467.8609092235565,475.8659636974335,483.8685760498047,484.8105351924896,492.79667711257935,498.85733437538147,499.8043022155762,505.81072759628296","232.82604885101318,277.8421461582184,322.8729887008667,368.8506214618683,414.8705062866211,460.86547470092773"
/rosie2,"wait,none,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,goto_h2_l,h_load,none,goto_l_h2","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local","1.2917425632476807,200.95936107635498,201.80597019195557,206.79503440856934,207.79122519493103,218.79596948623657,223.7966878414154,224.79311108589172,230.8127245903015,235.8026237487793,236.79860401153564,242.80207777023315,247.79712867736816,248.7994737625122,259.8104238510132,264.79941964149475,265.8077886104584,271.80511808395386,276.8445589542389,277.8003394603729,283.80652618408203,288.82456612586975,289.8317639827728,300.79360246658325,305.8224980831146,306.80059814453125,312.79720091819763,317.815936088562,318.83387565612793,324.8001124858856,329.8650698661804,330.8219130039215,341.79998254776,346.8325638771057,347.8139069080353,353.81932187080383,358.79895973205566,359.82700276374817,365.79606795310974,370.82449102401733,371.84870433807373,382.79715037345886,387.8037099838257,388.7969307899475,394.84424805641174,399.79051876068115,400.7993733882904,406.8397331237793,411.7930631637573,412.8139705657959,423.7916224002838,428.8484525680542,429.8570578098297,435.8579831123352,440.7900891304016,441.8132061958313,447.7952091693878,452.79013204574585,453.810649394989,464.79615926742554,469.79899191856384,470.7948501110077,476.82603311538696,481.81425070762634,482.79788637161255,488.8410143852234,498.8658826351166,504.7982585430145,505.79345417022705",498.869634151459
/turtlebot0,"wait,none,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,goto_p11_c3,h_check_connection,none,goto_c3_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_c4,h_check_connection,none,goto_c4_p11,goto_p11_p1,patrol,none,goto_p1_p11,goto_p11_c3,h_check_connection,none,goto_c3_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11","local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","1.9290902614593506,201.91022086143494,202.8140299320221,208.81377816200256,209.8319709300995,218.80605125427246,224.79016542434692,225.80845594406128,234.78537225723267,240.79145884513855,241.8009955883026,250.80797863006592,254.81627798080444,260.7877025604248,261.80183148384094,265.79151701927185,271.79935693740845,272.8340382575989,281.793089389801,287.7981858253479,288.8250503540039,297.82603573799133,303.80455136299133,304.8111984729767,308.7905969619751,314.79302859306335,315.81044578552246,319.7993092536926,328.81740379333496,334.8001844882965,335.7848205566406,344.84554719924927,348.8032295703888,353.8330671787262,354.8222794532776,358.7910692691803,364.8819053173065,365.7964816093445,374.81022238731384,380.86019492149353,381.832937002182,390.86503529548645,396.7919030189514,397.8050549030304,406.8202476501465,412.7921314239502,413.7994441986084,422.82876992225647,428.8486285209656,429.8702652454376,438.80574226379395,444.7906699180603,445.80003476142883,454.81118726730347,460.7945339679718,461.7953562736511,470.7993996143341,476.8008954524994,477.7915542125702,486.88588666915894,492.86377120018005,493.79258704185486,502.8279469013214,508.8523807525635,509.7949674129486","255.8165364265442,309.8036618232727,348.84165835380554"
/turtlebot1,"wait,none,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","2.658069610595703,201.96377277374268,202.79358768463135,208.815984249115,209.8117241859436,222.82830357551575,228.84693312644958,229.82242465019226,242.7878930568695,248.84041547775269,249.79911923408508,262.84246015548706,268.79092955589294,269.8028144836426,282.7896466255188,288.8254132270813,289.8120982646942,302.80415558815,308.8051800727844,309.7948040962219,322.8339309692383,328.81804847717285,329.80692768096924,342.80957531929016,348.7940249443054,349.82193541526794,362.80769872665405,368.81229615211487,369.8132755756378,382.8002724647522,388.79737854003906,389.7928988933563,402.7962131500244,408.80114579200745,409.7936773300171,422.7945876121521,428.7874126434326,429.8706593513489,442.8003103733063,448.82116198539734,449.8334562778473,462.79473209381104,468.80248188972473,469.82875204086304,482.8012430667877,488.8416712284088,489.8259279727936,502.7943305969238,508.81937766075134,509.82878017425537",
/turtlebot2,"wait,none,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","3.61405611038208,203.00037479400635,203.81393122673035,209.83212280273438,210.79124069213867,219.79212069511414,225.7928867340088,226.80045437812805,235.79036712646484,241.80140686035156,242.8459975719452,251.78783202171326,257.8371322154999,258.8209934234619,267.8055944442749,273.8049292564392,274.794145822525,283.80694580078125,289.81223344802856,290.8234896659851,299.78521943092346,305.79038429260254,306.8067841529846,315.7933814525604,321.8257315158844,322.8386039733887,331.79044818878174,337.8195662498474,338.81792068481445,347.79699969291687,353.81040048599243,354.80091881752014,363.794926404953,369.7884819507599,370.7910990715027,379.7899568080902,385.8508107662201,386.7903335094452,395.88014554977417,401.7945773601532,402.8320450782776,411.8402953147888,417.80766558647156,418.82944416999817,427.79309606552124,433.83279252052307,434.7934172153473,443.8131892681122,449.83462858200073,450.79728984832764,459.81518840789795,465.7934100627899,466.83821082115173,475.8179352283478,481.7990665435791,482.7983603477478,491.79292941093445,497.78814697265625,498.82611870765686,507.83244276046753",
/turtlebot3,"wait,none,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,goto_p12_c4,h_check_connection,none,goto_c4_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_p9,patrol","local,local,local,local,local,local,local,local,collaborative,local,local,local,assisting,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local","3.6831438541412354,202.94419836997986,203.80188083648682,209.8120982646942,210.79193377494812,228.8022792339325,234.79156589508057,235.81079077720642,255.79891920089722,262.8249168395996,263.80825209617615,267.8466498851776,275.7931637763977,280.8249406814575,281.8006341457367,289.8126997947693,295.7950031757355,296.8183476924896,314.8766539096832,320.79712104797363,321.80719470977783,341.7911193370819,348.7941768169403,349.79315304756165,353.841735124588,359.79146218299866,360.7925193309784,378.79202222824097,384.84530329704285,385.7859616279602,405.8149034976959,412.81447529792786,413.7872898578644,417.80825877189636,423.8303916454315,424.7892498970032,442.80234932899475,448.79989671707153,449.7916350364685,469.81393241882324,477.8215069770813,478.83367562294006,482.8499252796173,488.79707503318787,489.8077235221863,507.83281326293945","255.8165364265442,275.8368968963623,341.82127809524536,405.8178551197052,470.9055988788605"
/turtlebot4,"wait,none,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group","local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative","4.394778251647949,203.91339492797852,204.81763219833374,210.81672143936157,211.80212831497192,223.8369152545929,229.8231782913208,230.8222620487213,237.81754159927368,242.79439210891724,243.83368682861328,249.80521893501282,255.80194115638733,256.8424732685089,268.80590558052063,274.80175256729126,275.8012948036194,282.83247351646423",238.817435503006
/turtlebot5,"wait,none,remove_object,none,goto_m_p5,patrol,none,goto_p5_c2,check_connection,none,goto_c2_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol","local,local,collaborative,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","6.731159210205078,205.81100130081177,206.80514454841614,286.78985118865967,287.8320918083191,297.79412746429443,303.81656312942505,304.8120708465576,309.80037808418274,316.8422040939331,317.7923707962036,322.8930160999298,328.83754777908325,329.8074095249176,339.84587836265564,345.7930030822754,346.8329849243164,356.79422783851624,362.7898507118225,363.80255651474,373.790016412735,379.84886622428894,380.8075006008148,390.79728722572327,396.81929206848145,397.8056936264038,407.7901728153229,413.80001306533813,414.8072006702423,424.85401153564453,430.8318808078766,431.81449031829834,441.807501077652,447.7980422973633,448.8382682800293,458.8548195362091,464.80756735801697,465.79607939720154,475.8666272163391,481.81439661979675,482.8505311012268,492.7929120063782,498.79047560691833,499.8047981262207,509.8015320301056","206.82630586624146,309.8036618232727"
/rosie3,"wait,none,harvest,none,goto_h1_h3,harvest,none,goto_h3_m,h_remove_object,none,goto_m_h3,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3","local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","4.789921522140503,204.94083166122437,205.81427359580994,210.79427123069763,211.7961621284485,223.79385256767273,228.7974009513855,229.79082584381104,238.81306838989258,342.856653213501,343.8411719799042,352.79978108406067,358.7953579425812,363.7969717979431,364.80954813957214,370.824994802475,375.8002324104309,376.8055374622345,388.7852485179901,393.79336071014404,394.78814029693604,400.7935633659363,405.79308557510376,406.82074093818665,412.7927107810974,417.80873799324036,418.80387234687805,430.7875761985779,435.7869973182678,436.84857177734375,442.79385781288147,447.7902162075043,448.8003580570221,454.801739692688,459.8837912082672,460.79549646377563,472.834698677063,477.79092597961426,478.7920105457306,484.7955205440521,489.7915768623352,490.8259153366089,496.8522069454193,501.79119896888733,502.7918071746826",282.800843000412
